imdb_key,actor,imdb_title,year,genre,big5_agreeableness_percentile,big5_agreeableness_raw,facet_altruism_percentile,acet_altruism_raw,facet_cooperation_percentile,facet_cooperation_raw,facet_modesty_percentile,facet_modesty_raw,facet_morality_percentile,facet_morality_raw,facet_sympathy_percentile,facet_sympathy_raw,facet_trust_percentile,facet_trust_raw
tt0118571,PETROV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.8708507229654018,0.7871378522608431,0.9769478324952325,0.7750558743896507,0.6531886798557639,0.6031232750146936,0.5386088815234610,0.4534903667981359,0.9105862185889169,0.6892439504695806,0.9952713155517658,0.7625691551321335,0.1246215352879921,0.5383347907941967
tt0118571,DOHERTY,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.1317580441867245,0.6977480976005814,0.8949114692509030,0.7490484694408222,0.2841672581112154,0.5450174532494855,0.3725799706908987,0.4312250821695639,0.4019460536155404,0.6140944799908007,0.9839255577312863,0.7452903971071196,0.6203042638521562,0.5984196776636016
tt0118571,MARSHALL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0853011200410623,0.6877239033250893,0.5909586695048058,0.7131585042828515,0.1351719424607614,0.5129798703412929,0.5713164650993529,0.4578592913232500,0.5006264241078179,0.6258849983134654,0.8809163586717234,0.7085197747323456,0.1446436634323017,0.5421456776391221
tt0118571,GIBBS,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0865822149051211,0.6880485090974168,0.2898869292620988,0.6856647746014736,0.1262900970872647,0.5104594832999448,0.5602969904778840,0.4563815856996781,0.3712790167726301,0.6103124603941490,0.6122268133039520,0.6743656276634447,0.3285668172544964,0.5675154239756094
tt0118571,KORSHUNOV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3457875177054667,0.7264270633665939,0.8845751441411771,0.7471223319961766,0.2604971956836497,0.5407213578243397,0.8231415790618823,0.4973117029735561,0.8319553104664396,0.6711982606131038,0.9799778461382858,0.7418819423612506,0.0987750873943886,0.5327166116744979
tt0118571,SHEPHERD,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.4052677333678706,0.7326678624141560,0.6633510050582601,0.7198804800269629,0.2054888574672152,0.5298550359139733,0.4619535578696539,0.4433357966160640,0.6115430868696138,0.6391801943891158,0.9363391515495898,0.7216998536723795,0.3887567551430041,0.5741610791661949
tt0118571,MITCHELL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.1634783404515590,0.7032285395817677,0.5824010900803959,0.7123877158183274,0.4917486244836726,0.5781428996561451,0.5377888101439596,0.4533813990326797,0.6165982630297103,0.6398037576740276,0.8680808131176652,0.7061441221160201,0.7582280290573966,0.6146651381262913
tt0118571,AIDE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0752138866361849,0.6850304971899501,0.7173008198949281,0.7252554012224541,0.1042727167347267,0.5036231577706702,0.2354076502076553,0.4103228855590912,0.1178021839778503,0.5698484448843689,0.8186254346751380,0.6982313303842967,0.4701039327616365,0.5827116516041401
tt0118571,"INT. AIR FORCE ONE, ","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0050530118859405,0.6399425380124653,0.5989280007228810,0.7138798212927409,0.0802388683794014,0.4948335420276053,0.6129135432458046,0.4635155630870295,0.1303457776406929,0.5727402303885293,0.8985385334887288,0.7120971975329885,0.4239257996082100,0.5778976859554541
tt0118571,"COL. AXELROD","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.1079556573906012,0.6930032164793869,0.3521606185621547,0.6917765902203936,0.3760262843422899,0.5603548167354029,0.1699987403753216,0.3980273566225810,0.2808271132041213,0.5984259201114532,0.5061598204272686,0.6640678004790913,0.7225522261850930,0.6101262863652971
tt0118571,"EXT. AIR FORCE ONE -","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0043094956281371,0.6377708328813056,0.6413338224209760,0.7177896767141401,0.4013058022832355,0.5643290773415097,0.6467395685791200,0.4682440817992276,0.3004539594902151,0.6011291362999349,0.8382956713812240,0.7011844465958078,0.5032566911191690,0.5861381062803971
tt0118571,ROSE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.8750127651886401,0.7879325317835397,0.8874216806498676,0.7476400171489276,0.3427663926006377,0.5549933333659820,0.9082677250921058,0.5185639482516654,0.9418582989238979,0.6999166433539312,0.9262421986126912,0.7187830895663309,0.0349931039995657,0.5111524567847957
tt0118571,ALICE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.6966143452269884,0.7626596141754178,0.7029262960386142,0.7237817943251482,0.5020057414360002,0.5796920036488230,0.7718514345803570,0.4876846416649797,0.7418424818259757,0.6564350826099783,0.8403365907735152,0.7015038519906250,0.1328640250241179,0.5399511849662726
tt0118571,"MAJOR CALDWELL","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0177110664973116,0.6585747396479980,0.4287586224160969,0.6987912774518072,0.1953254480982512,0.5276702588748925,0.5444268229637972,0.4542640854052172,0.5479330334785697,0.6314938002705004,0.6396043868235224,0.6771253654003580,0.3839759083869555,0.5736463516310684
tt0118571,BAZYLEV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0323828734838667,0.6687768656185322,0.7754436509586677,0.7316419731053363,0.0579418870659472,0.4846624521026958,0.8576085201714061,0.5048168367329516,0.6525313641949367,0.6443147931092047,0.8666140900934174,0.7058830401803878,0.0147520839415292,0.4961284989485369
