imdb_key,imdb_title,genre,year
tt1483013,Oblivion,"Action, Adventure, Mystery, Sci-Fi",2013
tt0780571,"Mr. Brooks","Crime, Drama, Mystery, Thriller",2007
tt1148204,Orphan,"Horror, Mystery, Thriller",2009
tt0120611,Blade,"Action, Horror",1998
tt0108160,"Sleepless in Seattle","Comedy, Drama, Romance",1993
tt1707386,"Les Miserables","Drama, Musical, Romance",2012
tt0083866,"E.T. the Extra-Terrestrial","Family, Sci-Fi",1982
tt1131734,"Jennifer's Body","Comedy, Horror",2009
tt0218967,"The Family Man","Comedy, Drama, Fantasy, Romance",2000
tt0102798,"Robin Hood: Prince of Thieves","Action, Adventure, Drama, Romance",1991
tt0068646,"The Godfather","Crime, Drama",1972
tt0289879,"The Butterfly Effect","Sci-Fi, Thriller",2004
tt1504320,"The King's Speech","Biography, Drama, History",2010
tt1189340,"The Lincoln Lawyer","Crime, Drama, Thriller",2011
tt0105414,"Single White Female","Drama, Thriller",1992
tt0144084,"American Psycho","Drama, Horror",2000
tt0325980,"Pirates of the Caribbean: The Curse of the Black Pearl","Action, Adventure, Fantasy",2003
tt1748122,"Moonrise Kingdom","Adventure, Comedy, Drama, Romance",2012
tt0110912,"Pulp Fiction","Crime, Drama",1994
tt0119643,"Meet Joe Black","Drama, Fantasy, Romance",1998
tt1385826,"The Adjustment Bureau","Romance, Sci-Fi, Thriller",2011
tt0120815,"Saving Private Ryan","Action, Drama, War",1998
tt0121765,"Star Wars: Episode II - Attack of the Clones","Action, Adventure, Fantasy, Sci-Fi",2002
tt0103064,"Terminator 2: Judgment Day","Action, Sci-Fi",1991
tt0120689,"The Green Mile","Crime, Drama, Fantasy, Mystery",1999
tt0440963,"The Bourne Ultimatum","Action, Thriller",2007
tt0181875,"Almost Famous","Drama, Music, Romance",2000
tt1345836,"The Dark Knight Rises","Action, Thriller",2012
tt0140352,"The Insider","Biography, Drama, Thriller",1999
tt0167260,"The Lord of the Rings: The Return of the King","Adventure, Fantasy",2003
tt0379786,Serenity,"Action, Adventure, Sci-Fi, Thriller",2005
tt0258463,"The Bourne Identity","Action, Mystery, Thriller",2002
tt0493464,Wanted,"Action, Crime, Fantasy, Thriller",2008
tt0208092,Snatch.,"Comedy, Crime",2000
tt1568346,"The Girl with the Dragon Tattoo","Crime, Drama, Mystery, Thriller",2011
tt0099653,Ghost,"Drama, Fantasy, Romance, Thriller",1990
tt0099674,"The Godfather: Part III","Crime, Drama",1990
tt1058017,"The Invention of Lying","Comedy, Fantasy",2009
tt0800369,Thor,"Action, Adventure, Fantasy",2011
tt0475394,"Smokin' Aces","Action, Crime, Drama, Thriller",2006
tt0240772,"Ocean's Eleven","Crime, Thriller",2001
tt0108052,"Schindler's List","Biography, Drama, History",1993
tt1000774,"Sex and the City","Comedy, Drama, Romance",2008
tt1045658,"Silver Linings Playbook","Comedy, Drama, Romance",2012
tt0071562,"The Godfather: Part II","Crime, Drama",1974
tt0120737,"The Lord of the Rings: The Fellowship of the Ring","Adventure, Fantasy",2001
tt0076759,"Star Wars","Action, Adventure, Fantasy, Sci-Fi",1977
tt0061722,"The Graduate","Comedy, Drama, Romance",1967
tt0421715,"The Curious Case of Benjamin Button","Drama, Fantasy, Romance",2008
tt1193138,"Up in the Air","Drama, Romance",2009
tt1010048,"Slumdog Millionaire","Drama, Romance",2008
tt0970416,"The Day the Earth Stood Still","Drama, Sci-Fi, Thriller",2008
tt0167404,"The Sixth Sense","Drama, Mystery, Thriller",1999
tt0111161,"The Shawshank Redemption","Crime, Drama",1994
tt0096446,Willow,"Action, Adventure, Drama, Fantasy, Romance",1988
tt0458525,"X-Men Origins: Wolverine","Action, Adventure, Sci-Fi, Thriller",2009
tt0467406,Juno,"Comedy, Drama, Romance",2007
tt0114709,"Toy Story","Animation, Adventure, Comedy, Family, Fantasy",1995
tt0120903,X-Men,"Action, Adventure, Sci-Fi",2000
tt0898367,"The Road","Adventure, Drama",2009
tt1478338,Bridesmaids,"Comedy, Romance",2011
tt0108399,"True Romance","Crime, Drama, Thriller",1993
tt1174732,"An Education",Drama,2009
tt0910970,WALL-E,"Animation, Adventure, Family, Sci-Fi",2008
tt0129387,"There's Something About Mary","Comedy, Romance",1998
tt1615147,"Margin Call","Drama, Thriller",2011
tt0133093,"The Matrix","Action, Sci-Fi",1999
tt0114814,"The Usual Suspects","Crime, Drama, Thriller",1995
tt0234215,"The Matrix Reloaded","Action, Sci-Fi",2003
tt0167261,"The Lord of the Rings: The Two Towers","Adventure, Fantasy",2002
tt0087469,"Indiana Jones and the Temple of Doom","Action, Adventure",1984
tt0120382,"The Truman Show",Drama,1998
