imdb_key,actor,imdb_title,year,genre,big5_extraversion_percentile,big5_extraversion_raw,facet_activity_level_percentile,facet_activity_level_raw,facet_assertiveness_percentile,facet_assertiveness_raw,facet_cheerfulness_percentile,facet_cheerfulness_raw,facet_excitement_seeking_percentile,facet_excitement_seeking_raw,facet_friendliness_percentile,facet_friendliness_raw,facet_gregariousness_percentile,facet_gregariousness_raw
tt0118571,PETROV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3945293958227691,0.5390678640255382,0.3446068323579364,0.5199156983475091,0.7512826474739345,0.6779787372320648,0.3500158184601600,0.6052087365149154,0.1204425831112619,0.5538784535831276,0.4171489007358559,0.5499964631104671,0.0299125643353587,0.3565847276343315
tt0118571,DOHERTY,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.2043200488109161,0.5141341684063572,0.2805335862475702,0.5106370062196159,0.8566157883335037,0.6973102716168872,0.1043355204545500,0.5759468311546867,0.3955226780174243,0.5923702732236172,0.3003117083679303,0.5342319927702412,0.5251747699093200,0.4565898332137974
tt0118571,MARSHALL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3488407662344358,0.5336720246758886,0.1859178556095182,0.4946834253046503,0.5832904818827603,0.6545726470942994,0.1047761101341995,0.5760283953683380,0.3739192061557606,0.5899730780832436,0.1231247287113300,0.5023328998235491,0.0507022864156452,0.3691288010874587
tt0118571,GIBBS,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.6307886682975024,0.5659078695809295,0.5022297140983679,0.5406652632917989,0.7117126350361198,0.6719730749047812,0.0932862130769397,0.5738138530654859,0.3471037408903369,0.5869346550359639,0.1868196346958573,0.5158663836421988,0.0262744128251787,0.3536784916836420
tt0118571,KORSHUNOV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.4524616281714836,0.5456761062269723,0.3277941228305933,0.5175573227202548,0.7193860160416210,0.6731040340368233,0.1473048319566420,0.5829662391460293,0.2661953266021278,0.5771313630427498,0.2150952616698598,0.5209226399639161,0.0203829196343505,0.3481624696449560
tt0118571,SHEPHERD,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.6785734091974442,0.5716986889659541,0.3194276277555743,0.5163657285152732,0.8106208502457746,0.6880595177258031,0.1695171800585741,0.5860532724880122,0.1544516471093627,0.5604611219016952,0.3335348743218057,0.5389130688772434,0.0975328106152621,0.3867288720000469
tt0118571,MITCHELL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5775983374667547,0.5597413529772909,0.5729212038017472,0.5497849462542537,0.7613351094299696,0.6795820361852031,0.1345717258118244,0.5810542265037297,0.2399449125703399,0.5736495108400079,0.2771735083869088,0.5308337225748335,0.0627796436995908,0.3745902143598863
tt0118571,AIDE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3307467089525948,0.5314676126797385,0.1928731100172763,0.4959975792460012,0.7800762034441563,0.6826737734272555,0.0654705110957582,0.5674505523504105,0.3643145704258510,0.5888936239969486,0.0900317103879124,0.4932521111573771,0.0243771927379199,0.3520270219769701
tt0118571,"INT. AIR FORCE ONE, ","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5865922582614265,0.5607692306215281,0.4024188662066487,0.5277359043833036,0.4399501014000436,0.6365054518017688,0.0112362993424211,0.5415468479981017,0.8585352338349512,0.6491319249076658,0.0541914757771416,0.4799636892340393,0.0465172435369821,0.3669941628309491
tt0118571,"COL. AXELROD","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3139586830989503,0.5293788706380138,0.8095875566672127,0.5852225170691232,0.7150614230893860,0.6724648537631154,0.3279009049827778,0.6031804534361483,0.5556594669327930,0.6095392072427559,0.4175648466882613,0.5500499072793144,0.0689301475085628,0.3770601975329326
tt0118571,"EXT. AIR FORCE ONE -","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.1675808799524995,0.5079993257358230,0.4149005902551387,0.5293801912906837,0.2546481391217484,0.6110685013193184,0.0115900593757835,0.5419438785445189,0.7619264461650181,0.6338149507449965,0.0122384567105588,0.4476607126859992,0.0019367014555255,0.3048548474295786
tt0118571,ROSE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5782344701977007,0.5598138954363157,0.1643243528913591,0.4903955127509926,0.5773924835621762,0.6538182285715654,0.3897058642469046,0.6087388905169739,0.1969383454184421,0.5674536569073099,0.2054639295186815,0.5192476334639007,0.0392931272200139,0.3629149931383713
tt0118571,ALICE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5196330240881682,0.5532030777466289,0.0905208867426752,0.4719381358901695,0.3870419735316045,0.6297097093835946,0.2326002422490734,0.5936297381436413,0.1797045986505156,0.5647449954092914,0.1320674834807936,0.5044813727629407,0.0244878144349567,0.3521262218017364
tt0118571,"MAJOR CALDWELL","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.2214565926648808,0.5167672263410875,0.4902499684314629,0.5391285991364169,0.7123056506271928,0.6720599629393449,0.1115755247739483,0.5772568527564419,0.4369688501753123,0.5968771752064188,0.1884422890797596,0.5161686226849684,0.0942182795992346,0.3857274026981532
tt0118571,BAZYLEV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.0572057739598766,0.4805602004795110,0.2932326999597982,0.5125451902948825,0.7435005654301026,0.6767611605375830,0.0526896063744242,0.5637954611370033,0.6143543831954563,0.6159294534126282,0.0433046759338513,0.4745440174970902,0.0018993462344145,0.3045402022135645
