imdb_key,actor,imdb_title,year,genre,big5_conscientiousness_percentile,big5_conscientiousness_raw,facet_achievement_striving_percentile,facet_achievement_striving_raw,facet_cautiousness_percentile,facet_cautiousness_raw,facet_dutifulness_percentile,facet_dutifulness_raw,facet_orderliness_percentile,facet_orderliness_raw,facet_self_discipline_percentile,facet_self_discipline_raw,facet_self_efficacy_percentile,facet_self_efficacy_raw
tt0118571,PETROV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.6768482868602698,0.6494546571972891,0.5889586184494792,0.7003039146187080,0.4994128079803210,0.4923807308005145,0.7606202915812568,0.6762463750956127,0.4795842724096658,0.4924789830263558,0.6514248244684930,0.5891920813655561,0.4625809116706420,0.7497962380336245
tt0118571,DOHERTY,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5110061094156814,0.6293379061185407,0.2858511583337156,0.6584559152895259,0.3201439973272200,0.4629753678034926,0.4453970374634432,0.6555379801706721,0.3267299567101270,0.4794498900479717,0.1085576414185243,0.5118591224422426,0.4987638387619611,0.7529907458109293
tt0118571,MARSHALL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3935634598926649,0.6154559536536490,0.3787822300778763,0.6720555226728004,0.4642513867605362,0.4868094771189248,0.3791646478714997,0.6513655369738853,0.5228211544290573,0.4960307780112295,0.1802957984375889,0.5271025736780514,0.4709158541526308,0.7505335697555164
tt0118571,GIBBS,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.6520851703639932,0.6462855317099462,0.6571231642938578,0.7098210711334406,0.7791019715536578,0.5410274474463762,0.4382166446640303,0.6550924471132071,0.6731891585557427,0.5088547334249556,0.5453501478213990,0.5760802877126275,0.8463838529205233,0.7890081038386988
tt0118571,KORSHUNOV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5167554548389803,0.6300104824349861,0.5071442056516191,0.6893466269081595,0.5747000229407121,0.5043635079768422,0.5529704409152799,0.6621616702004636,0.4858662686587911,0.4929952667306907,0.3574284332561770,0.5532499934217313,0.4937583437327827,0.7525494709870002
tt0118571,SHEPHERD,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9117112480176435,0.6910799700955628,0.6770754797644065,0.7127283595121078,0.8331437966401896,0.5534946842676974,0.6794353422163781,0.6703155056722713,0.7147935649375070,0.5127430807518731,0.6078941026226797,0.5836979272767795,0.7060163626629292,0.7721532933777971
tt0118571,MITCHELL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.8702019446108549,0.6806313943677385,0.6724599761226834,0.7120495977950432,0.8177461765602737,0.5497163782531713,0.4674059884125884,0.6568973332622740,0.6083766693126009,0.5031668098442810,0.3975063597814506,0.5582772436981400,0.7998460492784969,0.7826786955029155
tt0118571,AIDE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.4071214874601554,0.6170924620124549,0.5299626664290431,0.6923786074735532,0.6940692775854342,0.5245046371987919,0.5509143382925391,0.6620343728465293,0.5032285345279400,0.4944210715952986,0.2378914494140627,0.5366839793607345,0.7435227313486833,0.7761083125856650
tt0118571,"INT. AIR FORCE ONE, ","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.2818273106916559,0.6011195647909274,0.3838560378380303,0.6727603055445582,0.4939178126884627,0.4915112094096311,0.1940194121299457,0.6377614545247975,0.7309453762552323,0.5143229327462464,0.1205793620086631,0.5148192253625796,0.5891295587819140,0.7610233425232176
tt0118571,"COL. AXELROD","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.6315295373368413,0.6437179976463845,0.7524669887484370,0.7245210572566515,0.6596071504067317,0.5184428936928669,0.3717338725835783,0.6508858056618844,0.8277123298385040,0.5251156238583019,0.7424787013419735,0.6016649683881876,0.9580416627529014,0.8138844241830193
tt0118571,"EXT. AIR FORCE ONE -","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3618205709311428,0.6115589528849055,0.3702715469032009,0.6708667300538723,0.7444224406557799,0.5339495889475221,0.3787151685171685,0.6513366024142827,0.8765022040113243,0.5320767025373354,0.1075408939790971,0.5115982078821449,0.6369965054545615,0.7654241367939567
tt0118571,ROSE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3806934605825863,0.6138880426223250,0.5140783986552832,0.6902672153953386,0.5953493773947327,0.5077075519312262,0.5891137321582174,0.6644170662076359,0.3514885926520781,0.4816660250063961,0.4096519482917053,0.5597714277928176,0.3024767101450611,0.7349075391753112
tt0118571,ALICE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.2089544556720064,0.5902693773722522,0.4080486539141818,0.6760852955388938,0.7952413596744037,0.5445359325060037,0.5447558304880975,0.6616535797750150,0.4980250799280709,0.4939938293291995,0.2624667522711343,0.5403682903623356,0.3170554254984648,0.7363614507756426
tt0118571,"MAJOR CALDWELL","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.5500575964966888,0.6339187439063833,0.5803841739586855,0.6991396348076055,0.7227819157109969,0.5297887152767675,0.3535861387156259,0.6497007068089089,0.7272515236050867,0.5139576019457370,0.4236600108809204,0.5614816356170663,0.7673080285531371,0.7787728701683571
tt0118571,BAZYLEV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.3447445818610424,0.6094157265293241,0.3192964894914642,0.6635321896284249,0.3479911282023883,0.4678073972366075,0.4400333175423335,0.6552052823810858,0.6058513486949990,0.5029516611882195,0.2221361708560652,0.5342117965709832,0.6296417371988996,0.7647370414042879
