imdb_key,actor,imdb_title,year,genre,big5_openness_percentile,big5_openness_raw,facet_adventurousness_percentile,facet_adventurousness_raw,facet_artistic_interests_percentile,facet_artistic_interests_raw,facet_emotionality_percentile,facet_emotionality_raw,facet_imagination_percentile,facet_imagination_raw,facet_intellect_percentile,facet_intellect_raw,facet_liberalism_percentile,facet_liberalism_raw
tt0118571,PETROV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9690907520340653,0.8082781117253964,0.5189315986263269,0.5065060233304343,0.8597502178135946,0.7199573779148314,0.9563248642660760,0.7178911010639286,0.5778576122675074,0.7446147633309015,0.9954752115616193,0.7280640312114228,0.3519678584854342,0.4970892670594712
tt0118571,DOHERTY,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.8053210220621048,0.7761337912098210,0.3194645283437530,0.4881301063270728,0.4082645351434745,0.6535795392780649,0.4512180724689003,0.6431974466120549,0.5092869758399599,0.7360150992326564,0.9803968551382349,0.7026914031525837,0.7394255717222954,0.5485431723452094
tt0118571,MARSHALL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9672758253475275,0.8074667849250455,0.3761417912735346,0.4935918893345824,0.5996074696374358,0.6780986023909098,0.5800332933139140,0.6564294932515601,0.8490687947060265,0.7861407938092109,0.9924702290945442,0.7197679635381600,0.5522606761021568,0.5228461279935417
tt0118571,GIBBS,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9175708186269853,0.7929954040427141,0.5056927898287095,0.5053251526274303,0.1779637359679889,0.6185916250230896,0.1998184440902405,0.6138567413010019,0.5664621030204555,0.7431722480651186,0.9588442670360537,0.6876673266476664,0.3156661797175091,0.4920607034371143
tt0118571,KORSHUNOV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9716709788545415,0.8095023212452689,0.3000727566939025,0.4861741616633878,0.7411465973672406,0.6980722122814743,0.7654704376096702,0.6777121116767708,0.7550475815924091,0.7691541403861311,0.9927102118235449,0.7203101332066634,0.3306733386157272,0.4941659124863347
tt0118571,SHEPHERD,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9724883609220045,0.8099094762386349,0.2422293217641788,0.4799515763504977,0.5802117914897311,0.6755727038394743,0.4680044625309142,0.6449218600462601,0.4186055075925571,0.7246533310689103,0.9922580725194450,0.7193011894954310,0.4915902448196158,0.5151674071718257
tt0118571,MITCHELL,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9805738240378714,0.8146044681327909,0.5946759441994275,0.5133389067620946,0.4554220300441398,0.6596562456835314,0.2013820592587944,0.6140840301510926,0.4874007804629662,0.7332897890732701,0.9862308951817391,0.7092543118494569,0.8932562255681344,0.5788868697593403
tt0118571,AIDE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9055228778318531,0.7905933350294253,0.1408599153657378,0.4665319602362724,0.1798210767146763,0.6189513465448423,0.3694227475527884,0.6346034619815624,0.6558629492245216,0.7547863935214172,0.9510611683938158,0.6838626325442146,0.5298593298949098,0.5200024941209489
tt0118571,"INT. AIR FORCE ONE, ","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9859133951906736,0.8187268178789687,0.3998112506631550,0.4957896637186011,0.5012885225967821,0.6654882509336543,0.4315702151349899,0.6411674282735385,0.9835610244968477,0.8408339850039716,0.9742862999003061,0.6974091860871968,0.8091193979469415,0.5602826283355514
tt0118571,"COL. AXELROD","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.8161326658621061,0.7774090269880118,0.7399452972589565,0.5276929264588301,0.2967432400685367,0.6383024684276688,0.2117357453927304,0.6155631927777186,0.7643169306470757,0.7706342106822652,0.8671276441892963,0.6587605492500195,0.1899790315538261,0.4720087073455895
tt0118571,"EXT. AIR FORCE ONE -","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9994350711687576,0.8526060726136172,0.5781639223144679,0.5118312070518313,0.9179228309062240,0.7357537272604565,0.5173979221418537,0.6499735636741601,0.9953710464395062,0.8641199553471857,0.9944301259145494,0.7247364052621130,0.8423775021471035,0.5668112143269930
tt0118571,ROSE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.8321722841363791,0.7793904111084972,0.2871092924067042,0.4848348051893520,0.6895579611433500,0.6903629525415402,0.8511752663488820,0.6906552442106844,0.5603773519278425,0.7424049410898129,0.9593213562246077,0.6879189159408202,0.1909456496512986,0.4721878483836911
tt0118571,ALICE,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9408345005565093,0.7985156016373449,0.1380329819705134,0.4660790083543002,0.7610024450458062,0.7012435905927407,0.7311972480144004,0.6733264984782080,0.6434120765936479,0.7531172624830104,0.9287229629791774,0.6751197359287224,0.5722554047664773,0.5254019373646355
tt0118571,"MAJOR CALDWELL","Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9233154259847085,0.7942346668392410,0.4532404511682717,0.5006393623279981,0.3651558969128248,0.6478743209677756,0.1675941683620485,0.6089055316164215,0.7039983613398706,0.7614788291260541,0.9767678888898789,0.6994113495982371,0.3667882060649068,0.4990858519850244
tt0118571,BAZYLEV,"Air Force One",1997,"Action, Adventure, Drama, Thriller",0.9097985378766376,0.7914182100171661,0.5968019715972370,0.5135340924942035,0.3298403691068383,0.6430325399663457,0.7208910532020987,0.6720648113659118,0.9575002154858729,0.8204103043589639,0.9768933889665914,0.6995172998028370,0.0690638536391104,0.4415457065858160
